index,file,position_mm,sharpness,saw_loading
1,slice_0001_-6.96mm.png,-6.96,7.5,False
2,slice_0002_-7.58mm.png,-7.585,7.2,False
3,slice_0003_-8.21mm.png,-8.21,7.3,True
4,slice_0004_-8.84mm.png,-8.835,7.5,False
5,slice_0005_-9.46mm.png,-9.46,7.5,False
6,slice_0006_-10.09mm.png,-10.085,7.5,False
7,slice_0007_-10.71mm.png,-10.71,7.4,False
8,slice_0008_-11.34mm.png,-11.335,7.4,False
9,slice_0009_-11.96mm.png,-11.96,7.4,False
10,slice_0010_-12.59mm.png,-12.585,7.5,False
11,slice_0011_-13.21mm.png,-13.21,7.5,False
12,slice_0012_-13.84mm.png,-13.835,7.7,False
13,slice_0013_-14.46mm.png,-14.46,7.8,False
14,slice_0014_-15.09mm.png,-15.085,7.9,False
15,slice_0015_-15.71mm.png,-15.71,7.9,False
16,slice_0016_-16.34mm.png,-16.335,7.7,False
17,slice_0017_-16.96mm.png,-16.96,7.4,False
18,slice_0018_-17.59mm.png,-17.585,7.2,False
19,slice_0019_-18.21mm.png,-18.21,7.1,False
20,slice_0020_-18.84mm.png,-18.835,7.1,False
21,slice_0021_-19.46mm.png,-19.46,7.2,False
22,slice_0022_-20.09mm.png,-20.085,7.2,False
23,slice_0023_-20.71mm.png,-20.71,7.4,False
24,slice_0024_-21.34mm.png,-21.335,7.5,False
25,slice_0025_-21.96mm.png,-21.96,7.6,False
26,slice_0026_-22.59mm.png,-22.585,7.7,False
27,slice_0027_-23.21mm.png,-23.21,7.6,False
28,slice_0028_-23.84mm.png,-23.835,7.6,False
29,slice_0029_-24.46mm.png,-24.46,7.4,False
30,slice_0030_-25.09mm.png,-25.085,7.3,False
31,slice_0031_-25.71mm.png,-25.71,7.3,False
32,slice_0032_-26.34mm.png,-26.335,7.3,False
33,slice_0033_-26.96mm.png,-26.96,7.4,False
34,slice_0034_-27.59mm.png,-27.585,7.4,False
35,slice_0035_-28.21mm.png,-28.21,7.5,False
36,slice_0036_-28.84mm.png,-28.835,7.4,False
37,slice_0037_-29.46mm.png,-29.46,7.1,False
38,slice_0038_-30.09mm.png,-30.085,6.8,False
39,slice_0039_-30.71mm.png,-30.71,6.8,False
40,slice_0040_-31.34mm.png,-31.335,7.0,False
41,slice_0041_-31.96mm.png,-31.96,7.2,False
42,slice_0042_-32.59mm.png,-32.585,7.5,False
43,slice_0043_-33.21mm.png,-33.21,7.6,False
44,slice_0044_-33.84mm.png,-33.835,7.7,False
45,slice_0045_-34.46mm.png,-34.46,7.5,False
46,slice_0046_-35.09mm.png,-35.085,7.3,False
47,slice_0047_-35.71mm.png,-35.71,7.2,False
48,slice_0048_-36.34mm.png,-36.335,7.2,False
49,slice_0049_-36.96mm.png,-36.96,7.0,False
50,slice_0050_-37.59mm.png,-37.585,6.9,False
51,slice_0051_-38.21mm.png,-38.21,6.9,False
52,slice_0052_-38.84mm.png,-38.835,6.8,False
53,slice_0053_-39.46mm.png,-39.46,6.7,False
54,slice_0054_-40.09mm.png,-40.085,6.6,False
55,slice_0055_-40.71mm.png,-40.71,6.4,False
56,slice_0056_-41.34mm.png,-41.335,6.4,False
57,slice_0057_-41.96mm.png,-41.96,6.4,False
58,slice_0058_-42.59mm.png,-42.585,6.4,False
59,slice_0059_-43.21mm.png,-43.21,6.3,False
60,slice_0060_-43.84mm.png,-43.835,6.2,False
61,slice_0061_-44.46mm.png,-44.46,6.3,False
62,slice_0062_-45.09mm.png,-45.085,6.4,False
63,slice_0063_-45.71mm.png,-45.71,6.5,False
64,slice_0064_-46.34mm.png,-46.335,6.6,False
65,slice_0065_-46.96mm.png,-46.96,6.7,False
66,slice_0066_-47.59mm.png,-47.585,6.7,False
67,slice_0067_-48.21mm.png,-48.21,6.5,False
68,slice_0068_-48.84mm.png,-48.835,6.7,False
