index,file,position_mm
1,slice_0001_-6.96mm.png,-6.96
2,slice_0002_-7.59mm.png,-7.59
3,slice_0003_-8.21mm.png,-8.21
4,slice_0004_-8.84mm.png,-8.84
5,slice_0005_-9.46mm.png,-9.46
6,slice_0006_-10.09mm.png,-10.09
7,slice_0007_-10.71mm.png,-10.71
8,slice_0008_-11.34mm.png,-11.34
9,slice_0009_-11.96mm.png,-11.96
10,slice_0010_-12.59mm.png,-12.59
11,slice_0011_-13.21mm.png,-13.21
12,slice_0012_-13.84mm.png,-13.84
13,slice_0013_-14.46mm.png,-14.46
14,slice_0014_-15.09mm.png,-15.09
15,slice_0015_-15.71mm.png,-15.71
16,slice_0016_-16.34mm.png,-16.34
17,slice_0017_-16.96mm.png,-16.96
18,slice_0018_-17.59mm.png,-17.59
19,slice_0019_-18.21mm.png,-18.21
20,slice_0020_-18.84mm.png,-18.84
21,slice_0021_-19.46mm.png,-19.46
22,slice_0022_-20.09mm.png,-20.09
23,slice_0023_-20.71mm.png,-20.71
24,slice_0024_-21.34mm.png,-21.34
25,slice_0025_-21.96mm.png,-21.96
26,slice_0026_-22.59mm.png,-22.59
27,slice_0027_-23.21mm.png,-23.21
28,slice_0028_-23.84mm.png,-23.84
29,slice_0029_-24.46mm.png,-24.46
30,slice_0030_-25.09mm.png,-25.09
31,slice_0031_-25.71mm.png,-25.71
32,slice_0032_-26.34mm.png,-26.34
33,slice_0033_-26.96mm.png,-26.96
34,slice_0034_-27.59mm.png,-27.59
35,slice_0035_-28.21mm.png,-28.21
36,slice_0036_-28.84mm.png,-28.84
37,slice_0037_-29.46mm.png,-29.46
38,slice_0038_-30.09mm.png,-30.09
39,slice_0039_-30.71mm.png,-30.71
40,slice_0040_-31.34mm.png,-31.34
41,slice_0041_-31.96mm.png,-31.96
42,slice_0042_-32.59mm.png,-32.59
43,slice_0043_-33.21mm.png,-33.21
44,slice_0044_-33.84mm.png,-33.84
45,slice_0045_-34.46mm.png,-34.46
46,slice_0046_-35.09mm.png,-35.09
47,slice_0047_-35.71mm.png,-35.71
48,slice_0048_-36.34mm.png,-36.34
49,slice_0049_-36.96mm.png,-36.96
50,slice_0050_-37.59mm.png,-37.59
51,slice_0051_-38.21mm.png,-38.21
52,slice_0052_-38.84mm.png,-38.84
53,slice_0053_-39.46mm.png,-39.46
54,slice_0054_-40.09mm.png,-40.09
55,slice_0055_-40.71mm.png,-40.71
56,slice_0056_-41.34mm.png,-41.34
57,slice_0057_-41.96mm.png,-41.96
58,slice_0058_-42.59mm.png,-42.59
59,slice_0059_-43.21mm.png,-43.21
60,slice_0060_-43.84mm.png,-43.84
61,slice_0061_-44.46mm.png,-44.46
62,slice_0062_-45.09mm.png,-45.09
63,slice_0063_-45.71mm.png,-45.71
64,slice_0064_-46.34mm.png,-46.34
65,slice_0065_-46.96mm.png,-46.96
66,slice_0066_-47.59mm.png,-47.59
67,slice_0067_-48.21mm.png,-48.21
68,slice_0068_-48.84mm.png,-48.84
69,slice_0069_-49.46mm.png,-49.46
70,slice_0070_-50.09mm.png,-50.09
71,slice_0071_-50.71mm.png,-50.71
